Nodo,Distrito,Caja,Desconectado_hora,Desconectado_dia,Reconectado,Activo
18           ,712,A10  ,9,1,0,0
18           ,712,A12  ,9,0,0,0
18           ,712,A8   ,13,1,0,0
18           ,712,E10  ,13,0,0,0
18           ,712,E12  ,8,2,0,0
18           ,712,E4   ,7,0,0,0
18           ,712,E6   ,12,0,0,0
18           ,712,E8   ,6,1,0,0
18           ,712,F10  ,6,2,0,0
18           ,712,G12  ,12,0,0,0
18           ,712,G4   ,13,0,0,0
18           ,712,G6   ,7,0,0,0
18           ,712,G8   ,8,1,0,0
18           ,712,H12  ,7,0,0,0
18           ,712,H8   ,6,0,0,0
